Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Ukraine,UKR,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,14.6580644873033,14.0035860952307,10.5485475926522,8.07094292689281,7.0309175778574,5.658584847099,4.53263258536234,6.05406889190302,5.65262760937672,5.2492888403384,4.76725206732431,4.65413313137482,6.06510515861557,7.00601953965949,7.67769454961728,5.75612756626461,5.50249682244574,4.57350849501398,4.24071252864791,3.67293612668515
United States,USA,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,1.01984006058704,1.03089108439467,1.02779936063109,1.01668596686139,0.985576405382622,1.01531149159009,1.01354278640103,0.987140831093959,1.01566228798885,0.97363003428701,0.923415485858181,0.957650288800659,0.953071714433702,0.929971013855303,0.924104500420472,0.906823346321162,0.930998243480964,0.90266763295954,0.892961842497132,0.890531802541054
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,,,,,,,,,
